edad,ccaa,tiene_seguro,marca_seguro,satisfaccion,top_of_mind,atributo_clave,barrera,canal_contratacion,buyer_persona,precio_max_mensual
45-54,País Vasco,Si,Adeslas,3.3,Sanitas,App / gestión digital,No lo necesito,Comparador online,Preventivo Digital,25
55+,Cataluña,No,Sin seguro,,Asisa,Atención personalizada,Ya tengo Seg. Social,Empresa / colectivo,Joven Saludable,45
45-54,Cataluña,Si,Adeslas,3.6,Asisa,App / gestión digital,Precio demasiado alto,Empresa / colectivo,Joven Saludable,100
45-54,Cataluña,Si,Adeslas,2.7,DKV,Tiempo de espera corto,Ya tengo Seg. Social,Banco / caja,Ejecutivo Exigente,80
55+,Galicia,Si,Sanitas,4.4,Mapfre,Precio asequible,Trámites complicados,Agente / corredor,Familiar Tradicional,45
18-24,Galicia,Si,Sanitas,4.6,DKV,App / gestión digital,No lo necesito,Agente / corredor,Ejecutivo Exigente,60
25-34,Madrid,No,Sin seguro,,Adeslas,Sin copagos,Ya tengo Seg. Social,Empresa / colectivo,Familiar Tradicional,60
25-34,Baleares,Si,Sanitas,4.1,Sanitas,Tiempo de espera corto,Precio demasiado alto,Web del asegurador,Familiar Tradicional,80
35-44,Madrid,Si,Asisa,4.3,Asisa,Tiempo de espera corto,Precio demasiado alto,Web del asegurador,Joven Saludable,35
45-54,Aragón,No,Sin seguro,,Adeslas,Precio asequible,Precio demasiado alto,Agente / corredor,Ejecutivo Exigente,45
45-54,Madrid,No,Sin seguro,,Adeslas,App / gestión digital,Precio demasiado alto,Empresa / colectivo,Familiar Tradicional,45
55+,Cataluña,Si,DKV,3.9,Adeslas,Reputación de marca,Mala experiencia previa,Agente / corredor,Familiar Tradicional,25
25-34,Castilla y León,Si,Asisa,3.5,Sanitas,Red médica amplia,Precio demasiado alto,Agente / corredor,Familiar Tradicional,45
45-54,Madrid,Si,Asisa,3.7,Sanitas,Red médica amplia,Desconfianza en privado,Agente / corredor,Familiar Tradicional,80
25-34,Cataluña,Si,Sanitas,3.9,Adeslas,Tiempo de espera corto,Precio demasiado alto,Web del asegurador,Joven Saludable,100
25-34,Andalucía,Si,Adeslas,3.3,Mapfre,Precio asequible,Precio demasiado alto,Comparador online,Familiar Tradicional,35
45-54,Madrid,Si,AXA Salud,3.5,No sé,Tiempo de espera corto,Ya tengo Seg. Social,Web del asegurador,Senior Dependiente,45
55+,País Vasco,No,Sin seguro,,Adeslas,Red médica amplia,Precio demasiado alto,Empresa / colectivo,Familiar Tradicional,45
45-54,Murcia,Si,Asisa,4.1,No sé,Precio asequible,Desconfianza en privado,Comparador online,Familiar Tradicional,45
18-24,Murcia,No,Sin seguro,,Adeslas,Tiempo de espera corto,Mala experiencia previa,Web del asegurador,Senior Dependiente,45
45-54,Cataluña,Si,Adeslas,3.5,No sé,Tiempo de espera corto,Trámites complicados,Comparador online,Familiar Tradicional,25
18-24,Andalucía,No,Sin seguro,,No sé,Tiempo de espera corto,Precio demasiado alto,Empresa / colectivo,Ejecutivo Exigente,80
55+,Madrid,Si,Adeslas,4.2,Adeslas,App / gestión digital,Desconfianza en privado,Empresa / colectivo,Preventivo Digital,150
45-54,Madrid,No,Sin seguro,,DKV,Tiempo de espera corto,Precio demasiado alto,Agente / corredor,Preventivo Digital,60
25-34,Madrid,No,Sin seguro,,No sé,App / gestión digital,Trámites complicados,Agente / corredor,Joven Saludable,60
18-24,Baleares,Si,Adeslas,3.5,AXA,Tiempo de espera corto,Ya tengo Seg. Social,Banco / caja,Familiar Tradicional,45
25-34,Aragón,Si,Otra,4.1,No sé,Tiempo de espera corto,Precio demasiado alto,Comparador online,Joven Saludable,45
55+,Galicia,Si,Adeslas,3.5,Asisa,Tiempo de espera corto,Precio demasiado alto,Banco / caja,Preventivo Digital,35
35-44,Andalucía,Si,Adeslas,3.9,Adeslas,Red médica amplia,Precio demasiado alto,Comparador online,Preventivo Digital,60
45-54,Andalucía,No,Sin seguro,,Mapfre,Red médica amplia,Precio demasiado alto,Agente / corredor,Familiar Tradicional,25
45-54,Andalucía,Si,Sanitas,3.3,Asisa,Tiempo de espera corto,Trámites complicados,Comparador online,Ejecutivo Exigente,80
35-44,Andalucía,No,Sin seguro,,Asisa,Atención personalizada,Desconfianza en privado,Web del asegurador,Familiar Tradicional,45
25-34,Andalucía,Si,Adeslas,3.7,Sanitas,Tiempo de espera corto,Mala experiencia previa,Comparador online,Familiar Tradicional,45
55+,Madrid,Si,AXA Salud,3.2,Asisa,Red médica amplia,Precio demasiado alto,Agente / corredor,Joven Saludable,45
25-34,Madrid,Si,DKV,3.9,Adeslas,Tiempo de espera corto,Ya tengo Seg. Social,Web del asegurador,Familiar Tradicional,100
35-44,Baleares,No,Sin seguro,,DKV,Red médica amplia,Precio demasiado alto,Comparador online,Familiar Tradicional,35
45-54,Andalucía,No,Sin seguro,,Adeslas,App / gestión digital,Ya tengo Seg. Social,Comparador online,Familiar Tradicional,35
45-54,Baleares,Si,AXA Salud,3.4,DKV,Atención personalizada,Precio demasiado alto,Empresa / colectivo,Ejecutivo Exigente,35
55+,Madrid,Si,Adeslas,3.4,Mapfre,Tiempo de espera corto,Precio demasiado alto,Web del asegurador,Familiar Tradicional,60
25-34,Andalucía,No,Sin seguro,,Sanitas,Tiempo de espera corto,Ya tengo Seg. Social,Web del asegurador,Ejecutivo Exigente,150
35-44,Madrid,Si,Adeslas,4.1,Asisa,Precio asequible,Precio demasiado alto,Banco / caja,Familiar Tradicional,35
35-44,Cataluña,No,Sin seguro,,Sanitas,Precio asequible,Ya tengo Seg. Social,Web del asegurador,Preventivo Digital,100
35-44,Madrid,Si,Otra,3.1,No sé,Atención personalizada,No lo necesito,Web del asegurador,Familiar Tradicional,35
18-24,Madrid,Si,Asisa,3.4,DKV,App / gestión digital,Precio demasiado alto,Empresa / colectivo,Ejecutivo Exigente,60
25-34,Canarias,Si,Mapfre Salud,3.9,Sanitas,Tiempo de espera corto,Mala experiencia previa,Web del asegurador,Familiar Tradicional,25
25-34,Cataluña,Si,Asisa,3.7,Adeslas,Precio asequible,Ya tengo Seg. Social,Empresa / colectivo,Familiar Tradicional,45
25-34,C. Valenciana,Si,Sanitas,2.7,Adeslas,Red médica amplia,Desconfianza en privado,Web del asegurador,Familiar Tradicional,60
35-44,Andalucía,Si,Mapfre Salud,2.3,Sanitas,Red médica amplia,No lo necesito,Comparador online,Familiar Tradicional,45
45-54,Cataluña,No,Sin seguro,,No sé,Red médica amplia,No lo necesito,Comparador online,Familiar Tradicional,35
45-54,Andalucía,Si,Sanitas,3.9,DKV,Precio asequible,No lo necesito,Banco / caja,Ejecutivo Exigente,80
35-44,Madrid,Si,Adeslas,3.2,Adeslas,Sin copagos,Trámites complicados,Empresa / colectivo,Joven Saludable,150
35-44,Asturias,Si,Sanitas,2.8,Mapfre,Tiempo de espera corto,No lo necesito,Web del asegurador,Familiar Tradicional,45
25-34,Castilla y León,Si,DKV,3.8,Sanitas,Red médica amplia,Precio demasiado alto,Empresa / colectivo,Ejecutivo Exigente,60
35-44,Galicia,Si,Sanitas,4.0,Mapfre,Red médica amplia,Precio demasiado alto,Comparador online,Joven Saludable,80
25-34,Andalucía,Si,Asisa,3.1,Adeslas,Precio asequible,No lo necesito,Empresa / colectivo,Familiar Tradicional,35
18-24,Madrid,No,Sin seguro,,Asisa,Atención personalizada,Precio demasiado alto,Empresa / colectivo,Ejecutivo Exigente,80
35-44,Canarias,Si,Sanitas,3.7,No sé,Precio asequible,Precio demasiado alto,Empresa / colectivo,Familiar Tradicional,45
35-44,Cataluña,No,Sin seguro,,Adeslas,App / gestión digital,Precio demasiado alto,Empresa / colectivo,Familiar Tradicional,60
25-34,Madrid,Si,Asisa,3.1,DKV,Atención personalizada,Ya tengo Seg. Social,Empresa / colectivo,Ejecutivo Exigente,35
35-44,Cataluña,No,Sin seguro,,No sé,Red médica amplia,Precio demasiado alto,Agente / corredor,Preventivo Digital,45
35-44,Galicia,Si,Adeslas,3.1,Adeslas,Tiempo de espera corto,No lo necesito,Web del asegurador,Preventivo Digital,45
45-54,C. Valenciana,Si,Asisa,3.4,Adeslas,Sin copagos,Desconfianza en privado,Empresa / colectivo,Preventivo Digital,45
45-54,Galicia,No,Sin seguro,,DKV,Precio asequible,Desconfianza en privado,Agente / corredor,Ejecutivo Exigente,80
45-54,Galicia,No,Sin seguro,,Sanitas,Red médica amplia,Precio demasiado alto,Comparador online,Familiar Tradicional,150
25-34,Madrid,No,Sin seguro,,Adeslas,Cobertura dental,Ya tengo Seg. Social,Empresa / colectivo,Familiar Tradicional,35
45-54,Canarias,Si,Adeslas,2.5,Sanitas,Cobertura dental,Ya tengo Seg. Social,Agente / corredor,Familiar Tradicional,35
35-44,Andalucía,No,Sin seguro,,DKV,Tiempo de espera corto,Ya tengo Seg. Social,Comparador online,Familiar Tradicional,45
35-44,C. Valenciana,No,Sin seguro,,Sanitas,Tiempo de espera corto,No lo necesito,Empresa / colectivo,Familiar Tradicional,45
45-54,Madrid,No,Sin seguro,,Sanitas,Red médica amplia,Precio demasiado alto,Comparador online,Ejecutivo Exigente,45
35-44,Otros,Si,AXA Salud,3.1,Mapfre,Atención personalizada,Mala experiencia previa,Web del asegurador,Familiar Tradicional,80
35-44,Cataluña,No,Sin seguro,,Asisa,Precio asequible,Precio demasiado alto,Comparador online,Familiar Tradicional,60
